method,data,type,colums,func,start,end,width,height,errorbound,error,ssim,iterations,totaltime,sqltime
IFX-F,synthetic100k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9995,0,1.248,1.244
IFX-F,synthetic100m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,1.0000,0,974.467,974.465
IFX-F,synthetic10k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9969,0,0.326,0.320
IFX-F,synthetic10m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,1.0000,0,89.778,89.775
IFX-F,synthetic1m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,1.0000,0,11.124,11.121
IFX-M4,synthetic100k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9483,0,0.117,0.105
IFX-M4,synthetic100m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9561,0,4.520,4.513
IFX-M4,synthetic10k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9614,0,0.096,0.084
IFX-M4,synthetic10m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9723,0,0.872,0.862
IFX-M4,synthetic1m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9811,0,0.284,0.273
OM3,synthetic100k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9483,0,0.099,0.031
OM3,synthetic100m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9561,0,0.373,0.126
OM3,synthetic10k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9615,0,0.079,0.022
OM3,synthetic10m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9723,0,0.228,0.124
OM3,synthetic1m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9811,0,0.155,0.089
ours,synthetic100k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0450,0.9820,1,0.111,0.048
ours,synthetic100m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0480,0.9767,12,1.060,0.462
ours,synthetic10k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0124,0.9891,1,0.087,0.026
ours,synthetic10m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0308,0.9908,1,0.388,0.174
ours,synthetic1m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0192,0.9868,1,0.210,0.123
PG-F,synthetic100k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,1.0000,0,0.274,0.259
PG-F,synthetic100m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,1.0000,0,109.824,108.146
PG-F,synthetic10k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,1.0000,0,0.060,0.053
PG-F,synthetic10m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,1.0000,0,11.697,11.414
PG-F,synthetic1m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,1.0000,0,1.861,1.823
PG-M4,synthetic100k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9483,0,0.237,0.235
PG-M4,synthetic100m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9561,0,51.540,51.530
PG-M4,synthetic10k2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9617,0,0.038,0.035
PG-M4,synthetic10m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9723,0,7.743,7.741
PG-M4,synthetic1m2v,linenum,1;2,plus,0,-1,600,600,0.05,0.0000,0.9811,0,0.971,0.968
